"label","en_text","id_text"
"negative","Several large stocks tacked lower , however .","Namun beberapa saham besar melemah."
"negative","Sales by Seppala diminished by 6 per cent .","Penjualan oleh Seppala berkurang 6 persen."
"negative","In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''","Dalam penasehat media, NTSB mengatakan bahwa setelah pengujian berikutnya, `` sistem deteksi kereta api sebentar-sebentar gagal. ''"
"negative","Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .","PHK juga akan terjadi di pabrik Suomussalmi dan Kuhmo pada musim gugur ini sebagai hasil dari negosiasi penentuan kode yang diadakan di sana."
"negative","in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .","di Finlandia Perusahaan farmasi Finlandia Orion Corporation OMX Helsinki : ORNAV mengatakan pada hari Rabu 7 Januari bahwa mereka telah menyelesaikan negosiasi personelnya di Finlandia dan akan mengurangi jumlah personel sebanyak 205 orang."
"negative","The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .","Perusahaan mengkonfirmasi perkiraan pendapatan yang lebih rendah untuk keseluruhan tahun 2009 dibandingkan tahun lalu sebesar EUR 93,9 juta USD 137,3 juta seperti yang diberikan dalam laporan sementara pada tanggal 5 Agustus."
"negative","`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .","`` Pengeluaran modal untuk efisiensi energi sayangnya turun seiring dengan penurunan ekonomi."
"negative","Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .","Kas bersih dari aktivitas operasi negatif sebesar EUR 0,3 juta , dibandingkan dengan EUR 30,9 juta pada tahun 2009 ."
"negative","The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .","Maskapai nasional Finlandia mengatakan kerugian bersih pada April sampai Juni adalah 26 juta euro, turun dari laba bersih 13 juta euro setahun sebelumnya."
"negative","The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .","Kontrak para pekerja tersebut, yang 96 orang di antaranya merupakan pekerja kerah biru, akan berakhir antara Maret hingga Agustus 2011."
"negative","Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .","Saham Nokia mencapai 13,21 euro pada hari Jumat, turun 50 persen dari awal tahun, sebagian karena pengenalan model layar sentuh yang lambat."
"negative","Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .","Laba operasional berjumlah EUR 6,7 juta, turun dari EUR 7,2 juta pada periode yang sama tahun 2005."
"negative","On the other hand , Finnish sawmills ' production has decreased even more .","Di sisi lain, produksi sawmill Finlandia justru semakin menurun."
"negative","Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .","Pengembang perangkat lunak dan perangkat keras Finlandia Elektrobit Oyj HEL: EBG1V, atau EB, mengatakan hari ini pihaknya akan memberhentikan sementara hingga 200 orang selama maksimum 90 hari di Finlandia, dengan tujuan mencapai penghematan biaya sebesar EUR 1,7 juta USD 2 juta pada paruh kedua tahun ini. 2010."
"negative","The operating margin came down to 2.4 % from 5.7 % .","Margin usaha turun menjadi 2,4% dari 5,7%."
"negative","18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .","18 Maret 2010 Kebocoran pada kolam gipsum terdeteksi hari ini di tambang Talvivaara."
"negative","One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .","Salah satu tantangan dalam produksi minyak di Laut Utara adalah pembentukan kerak yang dapat menyumbat jaringan pipa dan menghentikan produksi."
"negative","Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .","Kerugian operasional sebelum item yang tidak berulang adalah EUR 0,9 juta , dibandingkan dengan laba EUR 11,5 juta pada tahun 2008 ."
"negative","Viking Line has canceled some services .","Viking Line telah membatalkan beberapa layanan."
"negative","Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .","Laba operasional tidak termasuk item yang tidak berulang berjumlah EUR 5,4 juta dibandingkan dengan EUR 5,5 juta pada periode yang sama di tahun 2007 ."
"negative","IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .","Perusahaan jasa TI TietoEnator melawan tren umum, bertahan datar di 22,70 euro, setelah turun kembali dari kenaikan sebelumnya."
"negative","Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .","Qualcomm memperkirakan laba kuartal pertama antara 46 dan 50 sen per saham, tidak termasuk item tertentu, di bawah perkiraan analis sebesar 61 sen per saham."
"negative","Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .","Penjualan di Finlandia turun sebesar 10,5% pada bulan Januari, sementara penjualan di luar Finlandia turun sebesar 17%."
"negative","In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .","Pada bulan Oktober , UPM melaporkan kerugian bersih kuartal ketiga sebesar euro86 juta $ 110 juta dibandingkan dengan laba bersih sebesar euro120 juta pada tahun 2007 ."
"negative","Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .","Kerugian untuk periode tersebut berjumlah EUR 15,6 juta dibandingkan dengan keuntungan sebesar EUR 6,3 juta pada tahun 2008 ."
"negative","Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .","Kinerja tahun 2006 dipengaruhi oleh tren konsolidasi di sektor telekomunikasi dan perubahan keseluruhan dan struktural di pasar kontrak manufaktur di bidang teknologi telekomunikasi dan industri elektronik."
"negative","`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .","``Perusahaan kecil menderita saat ini karena kemungkinan besar mereka akan mengalami kesulitan keuangan,'' tambahnya."
"negative","Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .","Kerugian operasional unit Mesin Pulp & Kertas lebih dari EUR 3 juta pada September 2007 - Agustus 2008, dibandingkan dengan laba EUR 3,7 juta tahun sebelumnya."
"negative","26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .","26 Oktober 2010 - Perusahaan pengelolaan lingkungan Finlandia Lassila & Tikanoja Oyj (HEL: LAT1V), atau L&T, mengatakan hari ini laba bersihnya turun menjadi EUR20,9 juta pada sembilan bulan pertama tahun 2010 dari EUR27,6 juta pada periode yang sama tahun ini lebih awal ."
"negative","Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .","Laba sebelum pajak berjumlah EUR 9,0 juta, turun dari EUR 36,3 juta pada tahun 2007."
"negative","Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .","Laba operasional tidak termasuk item yang tidak berulang berjumlah EUR 40,6 juta, turun dari EUR 57,3 juta tahun-ke-tahun."
"negative","Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .","Laba operasional, tidak termasuk item yang tidak berulang, berjumlah EUR 0,2 juta, turun dari EUR 0,8 juta pada periode yang sama tahun 2006."
"negative","During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .","Selama pemogokan, Finnair memperkirakan akan mengalami kerugian bersih antara EUR2 juta dan EUR2,5 juta per hari."
"negative","Reported operating margin was a negative 5.9 % .","Margin operasi yang dilaporkan adalah negatif 5,9%."
"negative","Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","Laba operasional, tidak termasuk item yang tidak berulang, berjumlah EUR 1,0 juta, turun dari EUR 1,6 juta."
"negative","Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .","Saat ini, perusahaan memperkirakan laba sebelum pajaknya akan tetap di bawah level 2009 ketika mencapai EUR 700.000 USD 934.000, dibandingkan dengan proyeksi sebelumnya dari laba sebelum pajak yang sedikit lebih baik."
"negative","The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .","Perubahan nilai wajar properti investasi adalah EUR 15,8 juta, dibandingkan dengan EUR 22,9 juta pada kuartal ketiga tahun 2009."
"negative","Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .","Perusahaan pelayaran Finlandia Finnlines , dari Grimaldi Group , melaporkan penjualan bersihnya turun menjadi EUR 241,8 juta pada Januari-Juni 2009 dari EUR 384,0 juta pada periode yang sama tahun 2008 ."
"negative","Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .","Penjualan unit tersebut merosot tahun lalu setelah industri itu dilanda hujan salju yang buruk di resor-resor besar pada musim dingin 2006-07."
"negative","Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .","Laba operasional turun menjadi EUR 38,1 juta dari EUR 55,3 juta di tahun 2007 ."
"negative","Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .","Kerugian operasional sebesar EUR 0,7 juta dibandingkan dengan keuntungan sebesar EUR 0,8 juta pada kuartal kedua tahun 2005 ."
"negative","Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .","CEO Elisa Sami Seppanen mengatakan slogan EMT `` Cakupan terbaik di seluruh Estonia '' jelas memberikan informasi yang menyesatkan kepada konsumen."
"negative","Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .","RELEASE BURSA SAHAM Rapala VMC Corporation 10 Oktober 2008 pukul 11.45 Kaupthing Bank Oyj ( `` Kapthing '' ) telah memberitahu Rapala VMC Corporation ( `` Rapala '' ) bahwa pihaknya telah menghentikan penyediaan likuiditas untuk saham Rapala untuk sementara waktu . makhluk ."
"negative","11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .","11 Agustus 2010 - Pembuat alat ukur Finlandia Vaisala Oyj HEL ​​: VAIAS hari ini mengatakan bahwa kerugian bersihnya melebar menjadi EUR4,8 m pada paruh pertama tahun 2010 dari EUR2,3 m pada periode yang sama tahun sebelumnya ."
"negative","In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .","Dalam perdagangan makanan , penjualan sebesar EUR320 ,1 m , penurunan 1,1% ."
"negative","In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .","Pada kuartal keempat tahun 2008 , penjualan bersih turun menjadi EUR 121,4 juta dari EUR 165,5 juta pada kuartal keempat tahun 2007 ."
"negative","More than 14,000 customers were left powerless .","Lebih dari 14.000 pelanggan tidak berdaya."
"negative","Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .","Penjualan Hobby Hall turun 26 persen karena penerapan sistem informasi baru yang melibatkan perubahan prinsip posting penjualan."
"negative","However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .","Namun , perusahaan melihat laba bersih untuk kuartal ketiga turun menjadi EUR 1,4 juta dari EUR 1,5 juta untuk periode yang sama tahun 2009 ."
"negative","Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .","Pemasok sistem pipa dan pemanas Finlandia Uponor memberhentikan sementara seluruh tenaga kerjanya di Finlandia selama dua minggu pada pertengahan Juli 2009 ."
"negative","In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''","Dalam penasehatan media, NTSB mengatakan bahwa setelah pengujian berikutnya, `` sistem deteksi kereta api kadang-kadang gagal. ''"
"negative","Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .","Penjualan bersih Kemira Finlandia EUR turun menjadi EUR 1,259.6 juta pada Januari-Juni 2009 dari EUR 1,425.1 juta pada Januari-Juni 2008."
"negative","Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .","Saham Swedbank paling terpukul dari bank-bank Swedia oleh krisis keuangan internasional yang sedang berlangsung."
